Feature,Model,Train_Accuracy,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1,Vocab_Size,Sparsity,Training_Time,Inference_Time,Model_Size_MB
bow,logreg,0.95,0.87275,0.861151427189163,0.8891108891108891,0.8749078397640698,0.9412691912691913,0.8686881299279168,5000,0.977235825,1.5084128379821777,0.0025751590728759766,0.03898143768310547
bow,svm,0.9836875,0.8495,0.8394762366634335,0.8646353646353646,0.8518700787401575,,0.8443954009832524,5000,0.977235825,2.593343496322632,0.0026903152465820312,0.03884410858154297
bow,nb,0.845,0.8205,0.8275510204081633,0.8101898101898102,0.8187783947501261,0.9006177756177757,0.8246770871536366,5000,0.977235825,0.01943182945251465,0.005679130554199219,0.15334224700927734
bow,rf,1.0,0.84125,0.832603406326034,0.8546453546453546,0.8434804042395859,0.9167991667991668,0.8447729532902801,5000,0.977235825,63.1969358921051,0.3045158386230469,92.00391483306885
tfidf_uni,logreg,0.9156875,0.876,0.8627167630057804,0.8946053946053946,0.8783717508582638,0.9494159494159494,0.8756550336585736,5000,0.977235825,0.2619936466217041,0.0009009838104248047,0.03896617889404297
tfidf_uni,svm,0.917875,0.8785,0.8647738209817132,0.8976023976023976,0.8808823529411764,,0.8777011856932662,5000,0.977235825,0.2418050765991211,0.0010571479797363281,0.03884410858154297
tfidf_uni,nb,0.86975,0.84475,0.8386463952918097,0.8541458541458542,0.8463251670378619,0.9257941757941759,0.8462061796071163,5000,0.977235825,0.006855964660644531,0.0016536712646484375,0.15334224700927734
tfidf_uni,rf,1.0,0.8345,0.8307008884501481,0.8406593406593407,0.8356504468718967,0.916056416056416,0.8407027965156919,5000,0.977235825,49.18191719055176,0.288240909576416,75.02027225494385
tfidf_uni_bi,logreg,0.91725,0.881,0.866474543707973,0.9010989010989011,0.8834476003917727,0.9517369517369516,0.8743286813716331,5000,0.968914275,0.3240053653717041,0.002267122268676758,0.03896617889404297
tfidf_uni_bi,svm,0.9180625,0.883,0.86875,0.9025974025974026,0.8853503184713376,,0.8758767899476592,5000,0.968914275,0.28159189224243164,0.000978231430053711,0.03884410858154297
tfidf_uni_bi,nb,0.869,0.854,0.8421814671814671,0.8716283716283716,0.8566519391261659,0.931922431922432,0.8563263201219732,5000,0.968914275,0.011220455169677734,0.0027375221252441406,0.15334224700927734
tfidf_uni_bi,rf,1.0,0.83875,0.8304919629810034,0.8516483516483516,0.840937114673243,0.9223477973477974,0.8438872814193632,5000,0.968914275,74.65348267555237,0.47532081604003906,64.99753665924072
char_ngrams,logreg,0.9465,0.868,0.8584630350194552,0.8816183816183816,0.869886643666831,0.9443271943271943,0.8695724499204184,10000,0.8368173624999999,6.860186815261841,0.018143653869628906,0.07711315155029297
char_ngrams,svm,0.9476875,0.868,0.8563829787234043,0.8846153846153846,0.8702702702702703,,0.8691956037213288,10000,0.8368173624999999,5.773844957351685,0.02017807960510254,0.07699108123779297
char_ngrams,nb,0.825125,0.81275,0.8016369764082811,0.8316683316683317,0.8163765628830596,0.8971921471921471,0.8186032057712873,10000,0.8368173624999999,0.07006001472473145,0.024899721145629883,0.30593013763427734
char_ngrams,rf,1.0,0.8245,0.8068932955618509,0.8536463536463537,0.829611650485437,0.9059342809342809,0.8220553729760827,10000,0.8368173624999999,500.2184591293335,4.749371528625488,44.2460412979126
